AmericanUniversity93,AmericanUniversity13,AmherstCollege93,AmherstCollege13,BardCollege93,BardCollege13,BarnardCollege93,BarnardCollege13,BatesCollege93,BatesCollege13,BaylorUniversity93,BaylorUniversity13,BeloitCollege93,BeloitCollege13,BenningtonCollege93,BenningtonCollege13,BentleyUniversity93,BentleyUniversity13,BostonCollege93,BostonCollege13,BostonUniversity93,BostonUniversity13,BowdoinCollege93,BowdoinCollege13,BrandeisUniversity93,BrandeisUniversity13,BrighamYoungUniversityProvo93,BrighamYoungUniversityProvo13,BrownUniversity93,BrownUniversity13,BrynMawrCollege93,BrynMawrCollege13,CaliforniaInstituteofTechnology93,CaliforniaInstituteofTechnology13,CaliforniaPolytechnicStateUniversitySanLuisObispo93,CaliforniaPolytechnicStateUniversitySanLuisObispo13,CarletonCollege93,CarletonCollege13,CarnegieMellonUniversity93,CarnegieMellonUniversity13,CaseWesternReserveUniversity93,CaseWesternReserveUniversity13,CentreCollege93,CentreCollege13,ClarkUniversity93,ClarkUniversity13,ClemsonUniversity93,ClemsonUniversity13,ColbyCollege93,ColbyCollege13,ColgateUniversity93,ColgateUniversity13,CollegeoftheAtlantic93,CollegeoftheAtlantic13,CollegeoftheHolyCross93,CollegeoftheHolyCross13,CollegeoftheOzarks93,CollegeoftheOzarks13,CollegeofWilliamandMary93,CollegeofWilliamandMary13,ColoradoCollege93,ColoradoCollege13,ColoradoSchoolofMines93,ColoradoSchoolofMines13,ColumbiaUniversityintheCityofNewYork93,ColumbiaUniversityintheCityofNewYork13,ConnecticutCollege93,ConnecticutCollege13,CooperUnionfortheAdvancementofScienceandArt93,CooperUnionfortheAdvancementofScienceandArt13,CornellUniversity93,CornellUniversity13,CreightonUniversity93,CreightonUniversity13,DartmouthCollege93,DartmouthCollege13,DavidsonCollege93,DavidsonCollege13,DenisonUniversity93,DenisonUniversity13,DePauwUniversity93,DePauwUniversity13,DickinsonCollege93,DickinsonCollege13,DrakeUniversity93,DrakeUniversity13,DukeUniversity93,DukeUniversity13,EarlhamCollege93,EarlhamCollege13,ElonUniversity93,ElonUniversity13,FordhamUniversity93,FordhamUniversity13,FranklinandMarshallCollege93,FranklinandMarshallCollege13,FurmanUniversity93,FurmanUniversity13,GeorgeWashingtonUniversity93,GeorgeWashingtonUniversity13,GeorgetownUniversity93,GeorgetownUniversity13,GeorgiaInstituteofTechnologyMainCampus93,GeorgiaInstituteofTechnologyMainCampus13,GettysburgCollege93,GettysburgCollege13,GrinnellCollege93,GrinnellCollege13,HamiltonCollege93,HamiltonCollege13,HampdenSydneyCollege93,HampdenSydneyCollege13,HampshireCollege93,HampshireCollege13,HarvardUniversity93,HarvardUniversity13,HarveyMuddCollege93,HarveyMuddCollege13,HaverfordCollege93,HaverfordCollege13,HendrixCollege93,HendrixCollege13,HobartWilliamSmithColleges93,HobartWilliamSmithColleges13,HopeCollege93,HopeCollege13,IndianaUniversityBloomington93,IndianaUniversityBloomington13,JamesMadisonUniversity93,JamesMadisonUniversity13,JohnsHopkinsUniversity93,JohnsHopkinsUniversity13,JuniataCollege93,JuniataCollege13,KalamazooCollege93,KalamazooCollege13,KenyonCollege93,KenyonCollege13,KnoxCollege93,KnoxCollege13,LafayetteCollege93,LafayetteCollege13,LawrenceUniversity93,LawrenceUniversity13,LehighUniversity93,LehighUniversity13,Lewis&ClarkCollege93,Lewis&ClarkCollege13,LoyolaMarymountUniversity93,LoyolaMarymountUniversity13,LoyolaUniversityMaryland93,LoyolaUniversityMaryland13,MacalesterCollege93,MacalesterCollege13,ManhattanCollege93,ManhattanCollege13,MassachusettsInstituteofTechnology93,MassachusettsInstituteofTechnology13,MiamiUniversityOxford93,MiamiUniversityOxford13,MichiganStateUniversity93,MichiganStateUniversity13,MiddleburyCollege93,MiddleburyCollege13,MountHolyokeCollege93,MountHolyokeCollege13,MuhlenbergCollege93,MuhlenbergCollege13,NewYorkUniversity93,NewYorkUniversity13,NorthCarolinaStateUniversityatRaleigh93,NorthCarolinaStateUniversityatRaleigh13,NorthwesternUniversity93,NorthwesternUniversity13,OberlinCollege93,OberlinCollege13,OccidentalCollege93,OccidentalCollege13,OhioStateUniversityMainCampus93,OhioStateUniversityMainCampus13,OhioWesleyanUniversity93,OhioWesleyanUniversity13,PennsylvaniaStateUniversityMainCampus93,PennsylvaniaStateUniversityMainCampus13,PepperdineUniversity93,PepperdineUniversity13,PitzerCollege93,PitzerCollege13,PomonaCollege93,PomonaCollege13,PresbyterianCollege93,PresbyterianCollege13,PrincetonUniversity93,PrincetonUniversity13,ProvidenceCollege93,ProvidenceCollege13,PurdueUniversityMainCampus93,PurdueUniversityMainCampus13,ReedCollege93,ReedCollege13,RensselaerPolytechnicInstitute93,RensselaerPolytechnicInstitute13,RhodesCollege93,RhodesCollege13,RiceUniversity93,RiceUniversity13,SaintAnselmCollege93,SaintAnselmCollege13,SaintLouisUniversity93,SaintLouisUniversity13,SaintMichael'sCollege93,SaintMichael'sCollege13,SantaClaraUniversity93,SantaClaraUniversity13,SarahLawrenceCollege93,SarahLawrenceCollege13,ScrippsCollege93,ScrippsCollege13,SewaneeTheUniversityoftheSouth93,SewaneeTheUniversityoftheSouth13,SkidmoreCollege93,SkidmoreCollege13,SmithCollege93,SmithCollege13,SouthernMethodistUniversity93,SouthernMethodistUniversity13,SouthwesternUniversity93,SouthwesternUniversity13,StJohn'sCollege93,StJohn'sCollege13,StLawrenceUniversity93,StLawrenceUniversity13,StOlafCollege93,StOlafCollege13,StanfordUniversity93,StanfordUniversity13,SUNYatBinghamton93,SUNYatBinghamton13,SwarthmoreCollege93,SwarthmoreCollege13,SyracuseUniversity93,SyracuseUniversity13,TexasA&MUniversityCollegeStation93,TexasA&MUniversityCollegeStation13,TheCollegeofWooster93,TheCollegeofWooster13,TheUniversityofTexasatAustin93,TheUniversityofTexasatAustin13,TransylvaniaUniversity93,TransylvaniaUniversity13,TrinityCollege93,TrinityCollege13,TrinityUniversity93,TrinityUniversity13,TuftsUniversity93,TuftsUniversity13,TulaneUniversityofLouisiana93,TulaneUniversityofLouisiana13,UnionCollege93,UnionCollege13,UnitedStatesAirForceAcademy93,UnitedStatesAirForceAcademy13,UnitedStatesCoastGuardAcademy93,UnitedStatesCoastGuardAcademy13,UnitedStatesMilitaryAcademy93,UnitedStatesMilitaryAcademy13,UnitedStatesNavalAcademy93,UnitedStatesNavalAcademy13,UniversityofCaliforniaBerkeley93,UniversityofCaliforniaBerkeley13,UniversityofCaliforniaDavis93,UniversityofCaliforniaDavis13,UniversityofCaliforniaIrvine93,UniversityofCaliforniaIrvine13,UniversityofCaliforniaLosAngeles93,UniversityofCaliforniaLosAngeles13,UniversityofCaliforniaSanDiego93,UniversityofCaliforniaSanDiego13,UniversityofCaliforniaSantaBarbara93,UniversityofCaliforniaSantaBarbara13,UniversityofChicago93,UniversityofChicago13,UniversityofColoradoBoulder93,UniversityofColoradoBoulder13,UniversityofConnecticut93,UniversityofConnecticut13,UniversityofDelaware93,UniversityofDelaware13,UniversityofDenver93,UniversityofDenver13,UniversityofFlorida93,UniversityofFlorida13,UniversityofGeorgia93,UniversityofGeorgia13,UniversityofIllinoisatUrbanaChampaign93,UniversityofIllinoisatUrbanaChampaign13,UniversityofIowa93,UniversityofIowa13,UniversityofMarylandCollegePark93,UniversityofMarylandCollegePark13,UniversityofMiami93,UniversityofMiami13,UniversityofMichiganAnnArbor93,UniversityofMichiganAnnArbor13,UniversityofMinnesotaTwinCities93,UniversityofMinnesotaTwinCities13,UniversityofNewHampshireMainCampus93,UniversityofNewHampshireMainCampus13,UniversityofNorthCarolinaatChapelHill93,UniversityofNorthCarolinaatChapelHill13,UniversityofNotreDame93,UniversityofNotreDame13,UniversityofPennsylvania93,UniversityofPennsylvania13,UniversityofPittsburghPittsburghCampus93,UniversityofPittsburghPittsburghCampus13,UniversityofPortland93,UniversityofPortland13,UniversityofPugetSound93,UniversityofPugetSound13,UniversityofRichmond93,UniversityofRichmond13,UniversityofRochester93,UniversityofRochester13,UniversityofSouthCarolinaColumbia93,UniversityofSouthCarolinaColumbia13,UniversityofSouthernCalifornia93,UniversityofSouthernCalifornia13,UniversityofUtah93,UniversityofUtah13,UniversityofVermont93,UniversityofVermont13,UniversityofVirginiaMainCampus93,UniversityofVirginiaMainCampus13,UniversityofWashingtonSeattleCampus93,UniversityofWashingtonSeattleCampus13,UniversityofWisconsinMadison93,UniversityofWisconsinMadison13,UniversityofWyoming93,UniversityofWyoming13,UrsinusCollege93,UrsinusCollege13,VanderbiltUniversity93,VanderbiltUniversity13,VassarCollege93,VassarCollege13,VillanovaUniversity93,VillanovaUniversity13,VirginiaMilitaryInstitute93,VirginiaMilitaryInstitute13,VirginiaPolytechnicInstituteandStateUniversity93,VirginiaPolytechnicInstituteandStateUniversity13,WabashCollege93,WabashCollege13,WakeForestUniversity93,WakeForestUniversity13,WashingtonandLeeUniversity93,WashingtonandLeeUniversity13,WashingtonUniversityinStLouis93,WashingtonUniversityinStLouis13,WellesleyCollege93,WellesleyCollege13,WesleyanUniversity93,WesleyanUniversity13,WestmontCollege93,WestmontCollege13,WheatonCollege93,WheatonCollege93,WheatonCollege13,WheatonCollege13,WhitmanCollege93,WhitmanCollege13,WillametteUniversity93,WillametteUniversity13,WilliamsCollege93,WilliamsCollege13,WoffordCollege93,WoffordCollege13,WorcesterPolytechnicInstitute93,WorcesterPolytechnicInstitute13,YaleUniversity93,YaleUniversity13,YeshivaUniversity93,YeshivaUniversity13,clear
136475000,355259000,28480061,44979041,17614000,54366086,34539000,73113000,28756556,71617475,75284497,298091000,15063761,22936328,10220371,23910631,62157602,128441000,172027708,373091572,407289048,869954000,25121000,55831000,58876750,132475189,91017544,181955299,120376091,258106000,24809869,36427000,29522000,35215000,30027372,137159041,31772351,57173856,108256000,395654224,103901000,209258273,9790528,22343248,41289000,61648000,57859168,288778074,32848000,59393000,46282000,84155426,2685607,11838384,43852013,80936026,12428151,573453,34590884,138577693,29986161,59902012,18421398,98371498,257817000,826229000,29131804,59967000,661000,3421111,203152000,515428879,62825000,190295000,95984521,180584529,21999308,38515816,29037926,50373640,29662486,39171701,35809292,67187632,58426099,84529862,159312000,392084000,16144422,17304494,23643332,142683713,121343000,386255289,29512961,73629488,29911322,67088471,215829061,598954000,187848000,539404000,40936347,271444683,36495124,76265809,18078826,25090000,31450000,56449000,11246600,16701301,21274909,33362444,342981000,654066000,9752446,21116803,19057955,32314569,7315891,18280403,32464000,58097870,26347588,58601031,160925292,654939232,30120839,169763877,157090000,477053000,13764668,27545441,16508623,24960266,25374228,45979054,12469596,24770143,33902900,68226486,17997330,32394141,89789000,165736000,37739307,84560331,72211187,245661000,45950593,131131833,24617876,42946000,37131000,69481927,181199000,310231000,87514971,268335589,177367468,697335878,49068000,142161468,32424867,44364843,26742924,62643324,476591000,1410790000,53000530,242771900,256150000,544305000,49947864,80445902,25048745,55521092,217339137,777726949,27245902,27300630,225344831,1466677000,98712912,191734000,13225850,46107838,24071167,35768000,11662547,21907457,111288000,105643000,51634298,102865258,140133593,606587948,20543254,38335573,88660000,181457000,19684529,35869239,34994000,124868000,20997372,41490411,92865282,258696701,23327986,53726234,78731000,215523000,18489000,42830606,10159849,27446942,18976645,37226386,39056000,82879000,49830844,68791393,96600000,248747000,12232532,23187815,7005322,11923182,34538000,56310865,38834519,70676432,216572584,366557000,33843727,101218329,22136907,40632000,228355000,460500208,122556226,423158370,24347486,36091054,110222347,495148734,9053977,16250858,37023149,69918602,26032904,40641413,135513188,317585577,158377000,293264000,35911000,57981190,0,0,0,0,0,0,0,0,144967000,639860000,83691000,434317000,65936000,400856000,161706000,621099000,74576000,414526000,70206000,309082000,178997530,361723893,143838435,483770987,88123776,274940546,129069451,370912162,84449892,268659143,79356900,352444000,71363483,349901990,115736767,676223900,88410898,374773000,129693404,408741789,207587194,462972148,318453987,924302000,148715192,601359427,80190085,190274919,66718258,348049137,139045881,277468000,331745000,797144000,179415486,471386072,26615000,77473000,51380000,66813000,46215976,97913000,132839000,225165000,83385996,323882506,369242000,1074811000,52758000,281981000,102031000,266519000,112561291,421235215,135327000,808052531,166149946,409279803,24783154,49963171,14660023,34962973,140851648,265961612,38059000,59585757,108366022,261515669,6981188,23561475,112405376,360814170,8685255,13976516,66319317,210881000,24517139,59419000,143441933,324899000,38757657,49514000,50855000,91725000,15024861,29960687,21242200,26292802,38760577,56811893,16677485,40593332,28306000,61439000,35921201,56096670,10948151,27229269,46311267,121016000,168481923,199197325,66377000,128760000,0
8248000,19024000,2025583,1539383,1840000,3049006,4326000,4120000,1004119,1739175,8579927,28027000,1645854,1414369,551382,338404,3038854,1609000,17083360,41394455,100365040,252532392,1548000,4366000,24172289,42007696,30102540,23126327,47075799,147643000,1992434,7997000,134847000,318538000,110180080,116909976,2329440,4023654,122444000,224221963,114919000,343425905,498740,284551,3216000,4919526,163189172,116849292,1286000,1713000,3420000,2490370,281768,696019,1598378,2281343,2435757,2022461,38820409,63675447,1596022,1971643,24038015,5195687,298202000,801018000,2704065,2177716,731000,1124503,131761000,562796235,9512000,20916252,52805987,132683745,1184383,4293939,1092906,826496,1618209,378022,2252343,1535181,9151929,9449589,173933000,584951000,1452620,1416777,2874472,2384103,15567000,14953365,2201168,1725111,1361067,3072592,39331236,128097000,90127000,151614000,215022829,219433928,1017278,948457,765848,879000,2629000,1960000,1094548,3114246,1553659,1100514,221950000,657594000,1605932,3042055,1408911,1732500,1265192,1572862,1490000,2932506,4653790,0,231318902,235370373,34855229,89114486,339353000,1238004000,2682408,595578,1739579,0,1144622,864658,1351871,1414931,1078376,1778195,961039,560180,25018000,39240000,2600516,3057856,5278590,5583000,7489753,7361759,1912124,2000000,6839000,2555846,255717000,1388261000,56992722,69767883,403251853,282841310,2715000,5289125,2818583,2709979,1379318,578342,201425000,332369000,331068325,550871379,98199000,414506000,2784164,2274668,2798504,3451929,468191121,474925276,3056024,2624145,356289539,860263000,4647462,3546000,816543,654121,1429961,2755000,502869,291865,64867000,173816000,2057423,2284858,321755520,335267575,1402478,2358939,34001000,83243000,860352,307680,27567000,111007517,1677571,1210269,24931857,38310575,1909220,2549185,4846000,4751000,937000,489932,520865,378045,668490,342978,3536000,2671000,3348955,4310089,8516000,24383000,558069,700935,944697,2800650,3462000,1193139,2965478,3195057,439379001,1054008000,93302951,167004521,1940227,1989000,37794000,54383302,472350775,516145957,1930843,865717,430637943,361156679,491236,0,2159611,2014340,5329791,5961752,51206076,120282516,76299000,173777000,2959000,2843596,249518691,512785400,43225757,0,275431434,315085044,213304093,432534717,528780000,346564000,416710000,394979000,235233000,284814000,669186000,493584000,432597000,318843000,191190000,172803000,131941599,356939193,178293314,18679593,169403503,523416944,112709249,274345510,15269498,23136917,497811463,599573000,367082353,397625305,473182261,287569300,320667131,242792000,307469728,436427863,178617358,431579657,560748552,292820000,637273508,694350537,82208434,52481407,460935322,697921699,31547890,84871000,233563000,804524000,281807282,866231773,1749000,1140000,2884000,1960000,1548319,3035000,138548000,325286000,185466571,136033177,187962000,416741000,272377000,308927000,65906000,50622000,201896659,150384252,625641000,263819952,632774889,419107418,115971733,243520401,1527258,1065021,118096899,506655528,3036000,2512378,6133298,6566996,9276145,13245544,245964701,248987478,877581,289015,53974286,186463000,625759,294000,149435015,472664000,3972073,4448000,8733000,7060000,644097,233591,890047,1682883,549339,732857,1006543,849633,2328000,1779000,2364393,1921592,1851050,270497,11908717,20487000,208347689,563427360,134133000,229646000,0
4720000,40734000,5692334,42618986,10464000,33406480,5217000,28431000,2081035,10784497,7940594,24095000,3462477,5503016,2170309,7937987,770736,6632000,9603981,87598721,66035047,159463575,4134000,40201000,19922825,53654779,168015165,76979151,33425043,209345000,5492299,28553000,37627000,119670000,1723060,21523926,4483487,20876553,41116000,161966380,46139000,157196326,2304101,18337134,4237000,10142474,23841870,74985877,2631000,19121000,5611000,33502677,1075638,3995915,6224979,25064680,4597932,40763907,5064411,37495302,3707092,7856009,9596057,40064415,331319000,627753000,4554349,16802192,2420000,8282569,46369000,299982659,10253000,47509748,30674921,132457078,10207228,65398399,2509117,13366551,8578644,84376589,1665836,14788843,5691607,11512351,174637000,899872000,2701530,10550858,859121,23180413,6117000,49570497,3329867,16127425,3196836,21871231,15376715,87976000,43656000,216090000,47056026,283522115,2467152,16356901,3565303,6967000,3771000,19116000,1694732,8962688,2198734,6342157,179596000,868418000,4187920,33601217,3012265,23292108,1224312,6058245,3813000,9883647,4091057,22576568,24191347,131221087,964125,5553476,166384000,621051000,1618534,7770445,2108511,10749993,2545541,15699694,2648057,17817020,3224893,21746227,2812577,15871152,19571000,56749000,2333585,7482873,6359420,18111000,3908702,9451628,2972226,11026000,3505000,9570532,245462000,537217000,5612427,33249089,54642436,125660764,3926000,58143448,8200413,29230754,1608435,5396278,66253000,612404000,48634461,161945436,57139000,449054000,7039871,38876069,5180416,17132937,99612686,404601786,3438861,21809484,58612608,338506000,6181363,21534000,1244488,14023686,6031841,15838000,982078,3963075,61095000,180994000,4292187,17451822,47543955,140185957,3542853,11630667,26358000,51793000,2965124,13268899,16840000,127195483,1655391,6271578,12462116,51790193,1381259,3794004,6201000,39667000,2251000,19120171,1940277,19489854,7739714,17090978,3442000,13587000,11010001,34915586,8869000,111682000,1767510,13491096,832118,6207745,3353000,12069551,3748292,14783500,126312429,873725000,10618694,35747354,8609951,44276000,15354000,78005053,66523286,266232398,3421563,17629242,51405515,335126792,1054908,5625738,3695905,17534366,1378670,14698941,22498216,77434682,29270000,72740000,5909000,18867479,0,15947649,442051,0,1715700,19242413,0,9143630,68181000,231139000,38596000,96437000,25172000,76635000,96840000,334622000,54568000,145654000,12043000,44877000,61975619,359020841,21713287,110721051,14305980,63297479,18521404,62395119,7707961,58438121,131891443,741625000,30859926,211015490,69096313,318270213,40895291,117464000,21941012,123203338,38136285,169562129,104567609,452389000,146096681,449224018,13237373,56622950,60819834,267507108,34185578,242994000,71018000,584506000,55404084,136506139,1513000,13721000,2125000,13728000,3800042,23812000,31975000,155058000,18042190,81594259,73593000,580055000,16159000,186164000,21589000,77110000,64332324,233270063,72624000,287583600,120819717,611074856,16066024,52444223,1326873,4075243,38704928,175597713,12019000,71755976,4888121,57565709,4045568,27620886,35259006,201429171,2650005,10158850,28639666,127526000,5308773,55014000,50133714,253760000,10677225,47247000,6043000,38371000,2170252,19391746,2242405,6776102,11287286,31582071,1378333,14383938,2288000,10299000,7126225,45420441,1568450,8614505,6957929,20903000,98027461,406771640,9744000,110751000,0
861000,66816000,13551096,254933360,1568000,29512151,2574000,31527000,4512063,15234316,14516706,126013000,2624668,19654518,376481,4072864,1700000,38614000,18114697,279371545,6153601,131904000,5858000,152474000,15366740,118299743,4459247,178413378,18955583,289377000,7921061,90930000,21948000,206076000,255608,1382048,8128878,82105572,15090000,132166829,26268000,136859653,3093893,36904592,2433000,60860000,550206,15817004,3477000,71949000,6385000,91195248,116003,5780797,4166783,59974886,6290901,65232542,1345977,8752530,6919651,23861941,0,1827849,97862000,971049000,2372332,28431000,15205000,64424281,48575000,483035547,3067000,61731000,33068579,472344562,4433984,70368229,3363290,74231441,2471878,54267559,2805183,44211629,2617116,21000341,35387000,1111180000,4450903,44058791,745936,18958618,2467000,64412477,6323041,34058026,5624313,62786042,13277282,87158000,11729000,134430000,2004198,13379765,1904846,29270069,12800000,225066000,2841000,109286000,1818886,14582799,530402,4340307,260285000,3773844000,2232354,24770826,3248299,60927362,3207809,30368534,2040000,26178112,2550761,22346487,840295,29804972,8852,1683369,34616000,363050000,1240085,16968547,4033255,20022457,2091337,26568492,1679019,11747591,7366648,84328854,5922948,23106223,11706000,125125000,1410966,34695347,5786369,61132000,2368890,29045447,15986489,103341000,259000,6315323,40959000,1284334000,1105668,27212214,3075321,186888875,8089000,142896435,10531494,68114170,1626612,21506865,32024000,244277000,920448,19199688,38928000,818824000,10585867,82820331,8190204,41373971,15825386,386760606,1718504,16732951,9240555,262403000,2718686,51693000,2233096,11238890,8720392,207003000,1836520,10720386,105945000,1897881000,1066160,20494025,6521904,143238352,1083140,56387856,8983000,55355000,4043756,33260317,55603000,616348000,252375,12338770,8141448,128571171,799374,10595952,5289000,84175000,779000,12626966,2477610,32775644,5692341,24619584,1114000,36830000,15203713,209925647,14313000,102725000,5483673,19578226,1989666,8105732,4208000,28531464,1895797,48070887,117384070,2509382000,0,441159,13156776,179062000,7658000,136346655,5872762,97373102,2297353,27579742,103494303,316374252,4876552,25282124,7501500,68580537,14489054,129640258,7479796,178145498,7609000,119333000,4928000,36112047,0,0,0,0,0,0,0,362420,0,60979000,0,44342000,0,19791000,0,108609000,0,42507000,0,5457000,41693620,383760647,338961,3683814,490166,964185,21444864,156676018,2624913,29660143,25521,23588000,1410600,5443652,2362032,29420610,916223,61192000,1639305,14333301,11164055,143685997,15706410,837767000,15782385,118180899,1732949,3709613,9211913,197271666,19221246,813519000,40779000,1061417000,15569988,316381917,1151000,13866000,3019000,38081000,14745625,392668000,31575000,217840000,477232,5479354,34777000,428735000,6625000,46628000,3510000,47317000,21740216,558746152,5575000,341240917,9823160,35014972,3212206,19825904,2004158,14323540,30972562,370052398,14008000,99046863,1490603,70018316,448513,1583789,2281715,6494819,9382669,19968209,17314628,99214000,9680506,106997000,49282478,647468000,17439361,177021000,10114000,68170000,339656,6516498,2563931,3899941,20492354,57425132,5236782,59220237,3922000,19617000,16212712,262955783,1322284,17641127,4834536,42693000,103038344,2561186005,7692000,114284000,0
28975000,72601736,10912715,22864862,5825000,23156115,14502000,34513800,8412683,16964832,35449643,227561852,4239176,10411206,3324700,525023,16456710,50207800,70952590,159326425,156501546,521311491,11016000,21711992,22802118,42053214,164987221,833478195,51117622,115312784,12903505,27696260,1101234000,1479926020,14975727,71602706,8572300,24618090,44226000,296309549,31583000,110070257,5297984,13172515,10986000,17928600,70652746,292114011,14277000,25728320,11956000,31441534,267732,2850288,19925069,55008293,5127119,37280680,39201024,141795442,9187115,23413828,4964450,78646292,51295000,1230653308,12157710,23957562,1116000,4734693,116625000,296465738,76707000,157832376,68358005,204124755,10401207,25517895,10756776,26387213,6857095,20733948,14835726,31766895,14930402,27373250,705734000,2768728960,5636212,9624805,7269766,36453001,19372000,76277098,10350506,24212691,12111538,37415729,392808928,275708756,415426000,264274440,42515893,662529087,11843478,34301895,6601324,14691560,9482000,24004760,6338049,15247628,5939559,12296781,301054000,1047772218,3958576,10747161,9698783,19540181,3577083,16104759,9542000,22955835,11885191,30557851,231369742,426751041,50957625,246404227,616525000,2388354060,4842778,12125749,5605215,8999017,9152196,26075330,4202871,10740421,11375007,31353577,4933029,10241120,37057000,60976560,6419794,18750322,13573862,45941312,15182808,39622123,6128408,15128666,9724000,30109153,413294000,420044580,50517609,158247039,211246276,916101904,16065000,13927665,13635858,37281839,7895044,23720141,562957000,1777029056,86411233,398981785,197940000,699675760,17425757,37221249,9837266,26031280,541507903,3314379428,10827073,19825391,137397760,2249833246,17749425,85527700,4148909,1533343,10688889,20909490,5714444,11210796,197406000,327433660,18673262,49922478,135351643,612361731,4489784,12849412,28795000,63024800,7605730,16064057,25942000,62873480,7920209,22118008,336012777,316258138,10080018,16357549,21112000,45514688,5949000,16869485,4417771,11411682,8248833,23583781,15089000,32886360,20161810,44554144,39020000,75662260,4460635,11936192,2143414,5086515,14336000,33201634,16095630,31449032,724775673,1231847620,21853125,119106490,12185487,25537264,104274000,212737387,102014468,1143498846,13704269,23958090,137000594,1291674063,3547463,8318118,11052653,29235522,12679529,27246633,67611323,172749066,262422000,212791700,11267000,30553105,59977201,153101518,6375982,86523649,66049036,34504900,0,9344044,100485000,1084474682,540909000,2671270682,313756000,1578228682,770429000,4270305682,448847000,2830105682,53092000,359745682,813513432,2041941443,96410569,608853109,89027788,1003305532,73519576,169625142,15742765,58959106,107049116,632157829,70153746,395004723,149875121,1351343426,533349363,2031057774,103290549,715730184,293956004,1448504272,1074096683,4165438600,505978360,1153972106,52145293,287758033,206555952,1386516334,100967082,259974804,880084000,3939108812,136989583,323650258,6388000,20814600,12738000,23283720,17818043,45665360,432449000,2237317840,46689398,343144346,265114657,1368948796,394622000,2598130699,47493000,220104616,434820600,1644136759,407783000,2920834087,432949684,1220483778,34365273,229516352,8125651,17650852,508369531,2576161292,19683000,30377054,34310219,84627610,8792190,20251499,75953448,503373830,2169041,17605560,195278364,578671600,8787112,19668860,339281082,1154459800,24739078,37079424,16614000,48807652,8987258,15656160,7887555,13116339,19314608,28842475,5468189,13995151,6261000,18507020,17321541,21650949,5232443,17379886,8034627,27980644,244911085,829880670,69427000,86534800,0
